Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Handle,https://angel.co/company/handle,,,,,,,,
CloudTags,https://angel.co/company/cloudtags,,,,,,,,
Globespan Capital Partners,https://angel.co/company/globespan,,,,,,,,
Hightower,https://angel.co/company/hightower,,,,,,,,
TrueLens,https://angel.co/company/truelens,,,,,,,,
Aviso,https://angel.co/company/aviso-1,,,,,,,,
Kannact,https://angel.co/company/kannact,,,,,,,,
Porch,https://angel.co/company/porch-1,,,,,,,,
Estify,https://angel.co/company/estify,,,,,,,,
mParticle,https://angel.co/company/mparticle,,,,,,,,
Opsmatic,https://angel.co/company/opsmatic,,,,,,,,
Thinknum,https://angel.co/company/thinknum,,,,,,,,
Morty,https://angel.co/company/morty,,,,,,,,
Optimus Ride,https://angel.co/company/optimus-ride,,,,,,,,
Founders Fund,https://angel.co/company/founders-fund,,,,,,,,
Susa Ventures,https://angel.co/company/susa-ventures,,,,,,,,
OnMyBlock,https://angel.co/company/onmyblock,,,,,,,,
Counterview Capital,https://angel.co/company/bds-venture-fund,,,,,,,,
Fresco Capital,https://angel.co/company/fresco-capital,,,,,,,,
Doorman,https://angel.co/company/doorman-1,,,,,,,,
Conjur,https://angel.co/company/conjur,,,,,,,,
Framed Data,https://angel.co/company/framed-data,,,,,,,,
CodeHS,https://angel.co/company/codehs,,,,,,,,
Butter Systems,https://angel.co/company/butter-systems,,,,,,,,
Move Loot,https://angel.co/company/move-loot,,,,,,,,
Studio Cy,https://angel.co/company/studiocy,,,,,,,,
Maxwell Health,https://angel.co/company/maxwell-health,,,,,,,,
Frontline Ventures,https://angel.co/company/frontline-ventures,,,,,,,,
Vanhawks,https://angel.co/company/vanhawks,,,,,,,,
Amplitude,https://angel.co/company/amplitude-1,,,,,,,,
Rethink Education,https://angel.co/company/rethink-education,,,,,,,,
Quettra,https://angel.co/company/quettra,,,,,,,,
Solidarium,https://angel.co/company/solidarium,,,,,,,,
YesGraph,https://angel.co/company/yesgraph,,,,,,,,
Liquor.com,https://angel.co/company/liquor-com,,,,,,,,
Structure Capital,https://angel.co/company/structure-capital,,,,,,,,
MustBin,https://angel.co/company/mustbin,,,,,,,,
Ironfire Ventures,https://angel.co/company/ironfireventures,,,,,,,,
Totspot,https://angel.co/company/totspot,,,,,,,,
Lascaux Co. (acquired by Etsy),https://angel.co/company/lascaux-co-acquired-by-etsy,,,,,,,,
Jump Capital,https://angel.co/company/jump-capital,,,,,,,,
myTips,https://angel.co/company/mytips,,,,,,,,
Red Swan,https://angel.co/company/red-swan,,,,,,,,
Harmony Partners,https://angel.co/company/harmony-partners,,,,,,,,
Carnival Mobile,https://angel.co/company/carnival-mobile,,,,,,,,
Connectloud,https://angel.co/company/connectloud,,,,,,,,
AppsBuilder,https://angel.co/company/appsbuilder-1,,,,,,,,
Notion Capital,https://angel.co/company/notion-capital,,,,,,,,
Vamo,https://angel.co/company/vamo,,,,,,,,
TechFellows,https://angel.co/company/techfellows,,,,,,,,
TrueVault,https://angel.co/company/truevault,,,,,,,,
Infocomm Investments,https://angel.co/company/infocomm-investments,,,,,,,,
hCentive,https://angel.co/company/hcentive,,,,,,,,
Clect - Collect Together,https://angel.co/company/clect-collect-together,,,,,,,,
Rock Health,https://angel.co/company/rockhealth,,,,,,,,
Matter.io (Acquired by Junction),https://angel.co/company/matter-io,,,,,,,,
Quanergy Systems,https://angel.co/company/quanergy-systems,,,,,,,,
Two Tap,https://angel.co/company/two-tap,,,,,,,,
SignalFire,https://angel.co/company/signalfire,,,,,,,,
Square Peg Capital,https://angel.co/company/square-peg-capital,,,,,,,,
Bislr,https://angel.co/company/bislr-1,,,,,,,,
StatusPage.io,https://angel.co/company/statuspage-io,,,,,,,,
Omies,https://angel.co/company/omies,,,,,,,,
Travelnuts,https://angel.co/company/travelnuts,,,,,,,,
Buttercoin,https://angel.co/company/buttercoin,,,,,,,,
Shopcade,https://angel.co/company/shopcade-1,,,,,,,,
SolveBio,https://angel.co/company/solvebio,,,,,,,,
Rise,https://angel.co/company/rise-2,,,,,,,,
Medisas,https://angel.co/company/medisas,,,,,,,,
Weft,https://angel.co/company/weft,,,,,,,,
ClipMine,https://angel.co/company/clipmine,,,,,,,,
Wildcard,https://angel.co/company/wildcard,,,,,,,,
Casetext,https://angel.co/company/casetext,,,,,,,,
Atterley Road,https://angel.co/company/atterley-road,,,,,,,,
