Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
ICE,https://angel.co/company/ice,,,,,,,,
JOANY,https://angel.co/company/hellojoany,San Francisco,Blogging Platforms,weebly.com,1-10,Acquired,"$400,670,000",,Dec ’12
ID.me,https://angel.co/company/id-me,,,,,,,,
Mailstrom,https://angel.co/company/mailstrom,appdirect.com,201-500,Series D,"$246,000,000",,Apr ’13,Philadelphia,Mobile Commerce
Innovation Endeavors,https://angel.co/company/innovation-endeavors,,,,,,,,
Crayon,https://angel.co/company/crayon,,"$37,450,000",,Dec ’12,London,Mobile Games,peak.net,11-50
Moxxly,https://angel.co/company/moxxly,,,,,,,,
TetraScience,https://angel.co/company/tetrascience,,Mar ’13,Boston,Cloud Management,threatstack.com,51-200,Series B,"$24,318,000"
Far East Ventures,https://angel.co/company/far-east-ventures,,,,,,,,
Current Labs,https://angel.co/company/current-labs,San Francisco,Mobile Health,wildflowerhealth.com,11-50,Series B,"$5,100,000",,Jan ’13
ROSS Intelligence,https://angel.co/company/ross-intelligence,,,,,,,,
Chai,https://angel.co/company/chai,heapanalytics.com,51-200,Series B,"$40,000,000",,Mar ’13,Atlanta,Mobile Payments
UK Technology by Flight Ventures,https://angel.co/company/flight-vc-uk,,,,,,,,
SpringRole,https://angel.co/company/springrole,Series A,"$32,700,000",,Oct ’13,San Francisco,Human Resources,gobold.com,11-50
Sidewire,https://angel.co/company/sidewire,,,,,,,,
Cymmetria,https://angel.co/company/cymmetria,,Mar ’14,San Francisco,Healthcare Services,PicnicHealth.com,11-50,,"$2,000,000"
Jobsinthemoney,https://angel.co/company/jobsinthemoney,,,,,,,,
OneEleven,https://angel.co/company/oneeleven-111,San Francisco,B2B,localizejs.com,1-10,Seed,"$1,200,000",,May ’14
Signatures Capital,https://angel.co/company/signatures-capital,,,,,,,,
Brick & Mortar Ventures,https://angel.co/company/brick-mortar-ventures,Uguru.me,1-10,-,-,,Nov ’14,San Francisco,Application Platforms
Xfers,https://angel.co/company/xfers,,,,,,,,
Swell,https://angel.co/company/swellapp,Series B,"$30,500,000",,Mar ’15,Seattle,B2B,bymason.com,11-50
Edelweiss,https://angel.co/company/edelweiss,,,,,,,,
